"manually added?","Requested Amount","Stripe_ID","Swapstack Fee Amount","unique id"
"","118","in_1IiAz3Lp3lgXyWyN2kErlTNR","7.74","1618892079749x318451902076944400"
"","300","in_1IicE5FtDVrKoPJwmnMYMOKK","20.13","1618996803202x907486071534125000"
"","87.5","in_1Iifz3JAuiW5VGbVdYk3d8WZ","5.66","1619011246445x101591367939522560"
"","250","in_1IinV8DQSq1qzunTqbDBp1tw","16.72","1619040144030x309801896232353800"
"","200","in_0Ij3AaKczM2ztYyRVKDGysRO","13.32","1619100373833x853874362380976100"
"","154","in_1Ij4bdJdioK6texLTVMPUkN3","10.19","1619105893355x606704762077577200"
"","150","in_1Ij4oqDTTmdDmbS5VWc92Tz4","9.91","1619106713905x679170551709696000"
"","660","in_1Ij6n2KUtusZ1tkqmDCyIqE2","44.65","1619114290475x295215424283344900"
"","100","in_1Ij9rfETwRVN6YQ6rDd8KC2P","13.49","1619126119039x805550984197570600"
"","5750","in_1IjAt4AMeSgyGslaxMcMqFee","575.81","1619130038546x939386229430681600"
"","500","in_1IjPFtHA6Xzayj2oqzfNwhYd","35.06","1619185271271x226143066892795900"
"","250","in_1IjQvELnaLy0fqZ0uCkd4LXv","17.53","1619191677967x239660707519660030"
"","500","in_1IjR7hLnaLy0fqZ0XrW906sJ","35.06","1619192451376x867242597630345200"
"","500","in_1IjRAfLnaLy0fqZ0oljzcltV","35.06","1619192635440x396602837853012000"
"","100","in_1IjRCzLnaLy0fqZ0bliSyr7D","7.01","1619192780328x306830464288030700"
"","143","in_0IjSRyB3pHBFF4gwcqIVDeJK","10.02","1619197553218x800224801552334800"
"","300","in_1IjWCIEZwV4MIeQPOHr9hBSV","21.03","1619211956172x957074549113094100"
"","1000","in_1IjWEdC65PbvDP7WnGoAQ565","70.13","1619212100981x514844868819025900"
"","500","in_1IjX19Lp3lgXyWyNtfN7uvut","35.06","1619215108614x354868727798038500"
"","90","in_1IjemdCJvYmr3YvSPlglSTF0","6.3","1619244961256x285561496077598720"
"","180","in_1Ijv8xCJvYmr3YvSWwDBtFkj","12.62","1619307849647x645792932770611200"
"","175","in_1IkPw8BI70heH4ti7tfCYWOW","12.27","1619426215563x527704580429185000"
"","300","in_1IkWclAdxVSPJfvt4tavynLv","21.03","1619451924243x325126860901187600"
"","180","in_1IkWqdCJvYmr3YvSEVgIot16","12.62","1619452787685x923514272180338700"
"","600","in_1IkZkPKUtusZ1tkqNFtaMTY4","30.07","1619463931627x891489729595834400"
"","800","in_1IkdZdF5kdno3XAtOOq7AsJF","56.1","1619478639857x380077610134143000"
"","300","in_1IkdfgEZwV4MIeQP1c930qGK","21.03","1619479014053x387048022465576960"
"","30","in_1IkeOtSG2IhaNX4Mba54pvDj","2.09","1619481816117x158117543738605570"
"","125","in_1Iko08KOyYLU7lroETD1m6WX","8.76","1619518721915x285660680007712770"
"","50","in_1IkroRKOyYLU7lrob1gFlW1g","3.5","1619533372801x901976375831822300"
"","50","in_1IkylkKOyYLU7lroZnNDC67E","5","1619560114278x294294633917186050"
"","125","in_0Il0MNB3pHBFF4gwRt1rNmqA","10.01","1619566552309x105662161304433730"
"","175","in_0IlDLIB3pHBFF4gwcsId2Dk8","12.27","1619616132257x225641152687636500"
"","175","in_0IlDN5B3pHBFF4gwiBDED71L","12.27","1619616245818x900440154766573600"
"","1500","in_1IlLXZBM3SkeSsPlMSR2hqRz","105.2","1619647646643x857824480529743900"
"","10","in_1IlbGFSG2IhaNX4MUHd9QIzr","0","1619708075684x174703685752324100"
"","180","in_1IlgeaCJvYmr3YvSMknAMdJQ","12.62","1619728805910x599074102107963400"
"","130","in_1IlqHILp3lgXyWyNFXscrlY8","9.11","1619765799854x375061308072263700"
"","1000","in_1Ilx3nC65PbvDP7WHtNuNCAE","70.13","1619791872236x301016251485126660"
"","100","in_1Im1N6ETwRVN6YQ6zN7oH336","0","1619808435508x660455383267016700"
"","60","in_1Im7VrKdTzjkLT0FhaP2kKuC","4.2","1619832053777x431971390318706700"
"","5000","in_1ImnjNIAnF86M0bhCjzwYZmM","0.64","1619994339076x386349583560867840"
"","221.33","in_1Imsd7Gaqn6oLHXIwbh2ELhj","15.51","1620013170437x563771741800235000"
"","200","in_1In7T2HA6Xzayj2oheG1DgTs","14.02","1620070204227x903211385035948000"
"","450","in_1In7rIALNjpSssCIl34iZZVW","31.56","1620071711177x202061396106018800"
"yes","5750","in_1Ikfj7C4H7ncHj1aFYmz45Xk","409.5","1620081841081x444421127312937300"
"yes","5000","in_1IlG2JC4H7ncHj1a8M1LsYTT","500","1620081925031x600957575120611700"
"no","244.95","in_1InHjBGaqn6oLHXIHb0eUTUG","17.17","1620109645903x180632426560356350"
"no","510.75","in_1InIObGaqn6oLHXIJmzEGORm","35.83","1620112213854x935696717131808800"
"no","90","in_1InKcxCJvYmr3YvSdEfinzDs","9","1620120793075x210919790250557440"
"no","1500","in_1InY3zFPuFgBPtV9WJjQsEJS","105.2","1620172441507x207635894939418620"
"no","700","in_1InZEcC65PbvDP7WdVGoSocC","49.09","1620176944144x382028367347056600"
"no","1250","in_1InZJ1C65PbvDP7WcObp9CBN","125.17","1620177216725x444481830786170900"
"no","250","in_1InfGjAlmf3dok8cPs1dF6b6","17.53","1620200139908x653307319489658900"
"no","250","in_1InkaqFYLVJBWYOO7IreIU6E","25.03","1620220606670x831111063398252500"
"no","50","in_1InuURCIhWCvno7ZOsbHa6u4","3.5","1620258649515x395790102246719500"
"no","100","in_1IoCuRETwRVN6YQ6I1NJxRSr","0","1620329448740x792235330104721400"
"no","100","in_1IoCv5ETwRVN6YQ6K4jQ5ZTs","0","1620329485383x809069069684965400"
"no","299","in_1IoEEJA6XwoN8KFwIsSAFpgm","20.96","1620334528212x136366552874745860"
"no","175","in_1IoIgtBI70heH4tiGhHNXnFA","0","1620351663164x988574649069600800"
"no","200","in_0IoaK7KczM2ztYyRf0FoA5NI","14.02","1620419456622x444171409965973500"
"no","50","in_1Ip1TkBO00mtbZLSLrwT5iSz","3.5","1620523841809x382140581671075840"
"no","500","in_1IpS9qGaqn6oLHXI4cXgtdXd","35.06","1620626394030x482311520643973100"
"no","150","in_1IpaZpDTTmdDmbS5qE6pyOhG","10.51","1620658759907x258652264959836160"
"no","87","in_1Ipj7dLp3lgXyWyNh507vblp","0","1620691606713x727185808390881300"
"no","600","in_1IpukDI3pLSUvp9pdrm3vzej","42.07","1620736282797x563662549690613800"
"no","175","in_0Iq2JFB3pHBFF4gwNpPq9mhG","17.52","1620765363325x823594934549872600"
"no","500","in_1IqMEuFYLVJBWYOOfRXa3t0W","50.06","1620841974320x910071255494819800"
"no","10500","in_1IqPp8AMeSgyGslaqEYvMmnM","736.45","1620855752707x479799385431212000"
"no","100","in_1IqdmtFpkfDBNGbE93d3mb5L","7.01","1620909428458x711031535091580900"
"no","4000","in_1IqfRVAMeSgyGslarKZNybop","400.56","1620915792708x551682384518447100"
"no","10","in_1Iqip4SG2IhaNX4MXBqUHTQN","0","1620928759342x148909402842726400"
"no","150","in_1IqnC8DTTmdDmbS5aH7qwHk9","15.01","1620945588682x276292936237056000"
"no","500","in_1Ir7RmFYLVJBWYOOtqsTqpMI","50.06","1621023441868x468866756371546100"
"no","100","in_1IrFjcGaqn6oLHXIPJdu9lns","7.01","1621055297155x845931810972762100"
"no","150","in_1IsEKIGAJ0eDduJjbZx4mY6K","10.51","1621288211649x475031797826322400"
"no","800","in_1IsEXNFYLVJBWYOODQKuuxnh","56.1","1621289023976x254320625401200640"
"no","600","in_1IsHbPCo8O0JAEHGkoKVIZns","60.08","1621300805904x391370503580811260"
"no","1250","in_1IsUJbFYLVJBWYOOoCk9e4tE","87.67","1621349673994x748781426217582600"
"no","350","in_1IsY3bGaqn6oLHXIePECMhXt","35.04","1621364058068x390676002548219900"
"no","795","in_1IstclK4DKEf3ABSAUAH3JtN","55.75","1621446959228x707817765635883000"
"no","75","in_1Iste9CIhWCvno7ZjvDwypNG","5.25","1621447047491x451622008633425900"
"no","200","in_0IsvMDKczM2ztYyR5vNNtdjA","14.02","1621453622131x405121123380625400"
"no","400","in_1IswgAF5kdno3XAtup2bMlWY","40.05","1621458704650x131259568725950460"
"no","825","in_1It6R9Ixrw4cE3Fpp9yrK0Md","57.85","1621496213212x329189982788911100"
"yes","10500","in_1ItDLQC4H7ncHj1atqfPtKu9","735","1621526121424x565350103086293950"
"no","100","in_1ItHFyETwRVN6YQ6y2RfvsR2","0","1621537792355x469686906358333440"
"no","175","in_1ItVc0BI70heH4tiAivWJDaK","0","1621592968430x182164681487286270"
"no","20","in_1ItgIcLnaLy0fqZ03QEhQXkN","1.39","1621634067168x497738197731377150"
"no","200","in_1Itn2sLp3lgXyWyNi4euusBD","14.02","1621659999013x797258392177213400"
